Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6203115977	-0.6522750258	3.4942371845
0.6203694508	-0.6521186829	3.4941554070
0.6204273270	-0.6527445316	3.4944827557
0.6204852033	-0.6527422667	3.4944815636
0.6205430561	-0.6528329849	3.4945290089
0.6206009369	-0.6528798938	3.4945535660
0.6206588130	-0.6530189514	3.4946262836
0.6207166662	-0.6530353427	3.4946348667
0.6207745421	-0.6529957056	3.4946141243
0.6208324183	-0.6530927420	3.4946649075
0.6208902948	-0.6530043483	3.4946186543
0.6209481479	-0.6529232264	3.4945762157
0.6210060238	-0.6530458331	3.4946403503
0.6210638772	-0.6531342268	3.4946866035
0.6211217534	-0.6530043483	3.4946186543
0.6211796296	-0.6530061960	3.4946196079
0.6212374824	-0.6531283259	3.4946835041
0.6212953586	-0.6529692411	3.4946002960
0.6213532386	-0.6529806256	3.4946062565
0.6214110920	-0.6525959373	3.4944050312
0.6214689682	-0.6499280334	3.4930098057
0.6215268464	-0.6391094923	3.4873561859
0.6215846998	-0.5923728347	3.4630086422
0.6216425757	-0.3414691687	3.3343973160
0.6217004522	0.2503104210	3.0446186066
0.6217583281	1.3180985451	2.5667412281
0.6218161813	2.8721079826	1.9634046555
0.6218740577	5.0661735535	1.2680001259
0.6219319108	7.6650137901	0.6328985691
0.6219897956	10.8172855377	0.0687804967
0.6220476487	14.0317039490	-0.3380159736
0.6221055295	17.5021114349	-0.6434676051
0.6221633827	20.5615310669	-0.8319247365
0.6222212589	23.6948013306	-0.9697178602
0.6222791351	26.4245796204	-1.0568552017
0.6223370114	29.1120243073	-1.1207202673
0.6223948641	31.2712173462	-1.1600803137
0.6224527406	33.4105300903	-1.1909385920
0.6225106188	35.1439743042	-1.2111729383
0.6225684720	36.7873344421	-1.2271314859
0.6226263484	38.0987434387	-1.2379686832
0.6226842246	39.4255981445	-1.2474664450
0.6227420777	40.4017333984	-1.2536277771
0.6227999537	41.4308586121	-1.2594519854
0.6228578301	42.1280097961	-1.2630424500
0.6229157061	42.9243888855	-1.2668238878
0.6229735595	43.5018730164	-1.2693679333
0.6230314364	44.0840530396	-1.2717757225
0.6230892904	44.3626213074	-1.2728749514
0.6231471674	44.7675056458	-1.2744143009
0.6232050444	45.0649757385	-1.2755028009
0.6232629215	45.4230499268	-1.2767671347
0.6233207752	45.6758270264	-1.2776304483
0.6233786522	45.9603691101	-1.2785742283
0.6234365064	46.1881370544	-1.2793089151
0.6234944065	46.3396186829	-1.2797875404
0.6235522636	46.4183998108	-1.2800333500
0.6236101173	46.5304298401	-1.2803792953
0.6236679943	46.6654167175	-1.2807905674
0.6237258716	46.8300666809	-1.2812840939
0.6237837279	46.9577980042	-1.2816609144
0.6238416050	47.0697288513	-1.2819868326
0.6238994703	47.1469535828	-1.2822093964
0.6239573472	47.2045402527	-1.2823741436
0.6240152246	47.2450523376	-1.2824894190
0.6240730786	47.2832107544	-1.2825975418
0.6241309556	47.3112030029	-1.2826765776
0.6241888323	47.3462867737	-1.2827752829
0.6242466867	47.3706817627	-1.2828437090
0.6243045637	47.4182205200	-1.2829765081
0.6243624407	47.4575386047	-1.2830858231
0.6244202947	47.5041046143	-1.2832146883
0.6244781717	47.5590248108	-1.2833658457
0.6245360489	47.5767250061	-1.2834143639
0.6245939255	47.5822982788	-1.2834296227
0.6246517797	47.6661758423	-1.2836581469
0.6247096610	47.6955833435	-1.2837377787
0.6247675145	47.7420005798	-1.2838629484
0.6248253918	47.7753448486	-1.2839524746
0.6248832690	47.8008232117	-1.2840206623
0.6249411226	47.8193511963	-1.2840701342
0.6249989999	47.8571090698	-1.2841706276
0.6250568767	47.8863677979	-1.2842482328
0.6251147306	47.9049377441	-1.2842973471
0.6251726077	47.9244918823	-1.2843489647
0.6252304851	47.9599113464	-1.2844421864
0.6252883390	47.9740371704	-1.2844792604
0.6253462161	48.0337295532	-1.2846353054
0.6254040931	48.0594787598	-1.2847023010
0.6254619470	48.0681991577	-1.2847249508
0.6255198238	48.0848350525	-1.2847681046
0.6255777011	48.0948715210	-1.2847940922
0.6256355551	48.1215286255	-1.2848629951
0.6256934321	48.1300773621	-1.2848850489
0.6257513092	48.1476173401	-1.2849302292
0.6258091863	48.1692276001	-1.2849857807
0.6258670633	48.1725730896	-1.2849943638
