Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6616307907	0.6931795478	2.8396525383
0.6616886456	0.6909035444	2.8406808376
0.6617465229	0.6871442795	2.8423798084
Red dye turned on now
0.6618044005	0.6889197826	2.8415772915
0.6618622553	0.6875731349	2.8421859741
0.6619201560	0.7838828564	2.7988796234
0.6619780103	0.6902555823	2.8409736156
0.6620358882	0.7915545106	2.7954494953
0.6620937427	1.9798496962	2.2972924709
0.6621516233	1.6090927124	2.4458603859
0.6622094774	2.1209890842	2.2422935963
0.6622673577	1.1658385992	2.6315340996
0.6623252177	0.8031325340	2.7902781963
0.6623830974	0.7323891521	2.8219776154
Red dye reaches top of filter
0.6624409754	0.7933753729	2.7946357727
0.6624988299	0.7098290324	2.8321380615
0.6625567073	0.6821714640	2.8446283340
0.6626145852	0.6769184470	2.8470048904
0.6626724625	0.6713561416	2.8495228291
0.6627303173	0.6730422378	2.8487594128
0.6627881947	0.6693134904	2.8504478931
0.6628460723	0.6123352051	2.8763346672
0.6629039271	0.6346520782	2.8661763668
0.6629618045	0.7092125416	2.8324160576
0.6630196822	0.6964285374	2.8381850719
0.6630775598	0.7965661287	2.7932102680
0.6631354166	0.1288368553	3.1025874615
0.6631932945	-0.2431510091	3.2849507332
0.6632511492	-0.3174465001	3.3222668171
0.6633090300	-0.3269905746	3.3270823956
0.6633668848	-0.4347245097	3.3817894459
0.6634247624	-0.4372718036	3.3830907345
0.6634826398	-0.4372899830	3.3831000328
0.6635405175	-0.4376268983	3.3832721710
0.6635983721	-0.4358741045	3.3823766708
0.6636562499	-0.4336172640	3.3812239170
0.6637141275	-0.4321919382	3.3804960251
0.6637719821	-0.4310302138	3.3799028397
0.6638298595	-0.4306052625	3.3796858788
0.6638877371	-0.4283419847	3.3785305023
0.6639455919	-0.4274909198	3.3780961037
0.6640034696	-0.4269667566	3.3778285980
0.6640613469	-0.4265495837	3.3776156902
0.6641192015	-0.4205886722	3.3745746613
0.6641770795	-0.4023206234	3.3652672768
0.6642349456	-0.3735553026	3.3506491184
0.6642928229	0.0373939276	3.1467339993
0.6643507005	-0.2589175999	3.2928445339
many air bubbles now
0.6644085781	-0.3065246940	3.3167622089
0.6644664330	-0.2870775461	3.3069770336
0.6645243106	-0.1472871453	3.2372455597
0.6645821880	-0.2553503513	3.2910573483
0.6646400428	-0.1101911739	3.2189185619
air bubbles stopped
0.6646979204	-0.2653514147	3.2960696220
0.6647557750	-0.2380717844	3.2824106216
0.6648136526	-0.1989788562	3.2629072666
0.6648715300	-0.1437408179	3.2354903221
0.6649293848	-0.0804207772	3.2042641640
0.6649872622	0.0221957937	3.1541140079
0.6650451401	0.0414124727	3.1447846889
0.6651029991	0.1989953369	3.0690133572
0.6651608765	0.3508792520	2.9972026348
0.6652187542	0.5261462927	2.9157991409
0.6652766091	0.6540336013	2.8573741913
0.6653345094	0.8414278030	2.7732200623
0.6653923643	1.0709694624	2.6724514961
0.6654502186	1.2294310331	2.6043422222
0.6655081196	1.5541276932	2.4684007168
0.6655659738	1.6960968971	2.4104559422
0.6656238287	2.0907325745	2.2540128231
0.6656817316	2.1595997810	2.2273945808
0.6657395863	2.4343798161	2.1231529713
0.6657974407	2.5573348999	2.0775089264
0.6658553300	2.7611038685	2.0031976700
0.6659131842	2.9476084709	1.9366127253
0.6659710621	3.1222085953	1.8754916191
0.6660289398	3.2998209000	1.8144971132
0.6660868058	3.5682623386	1.7245209217
0.6661446601	3.7886998653	1.6525763273
0.6662025381	4.0023622513	1.5844720602
0.6662604157	4.2422943115	1.5098595619
0.6663182933	4.4926447868	1.4340580702
0.6663761479	4.6680779457	1.3821581602
0.6664340140	5.0331835747	1.2772734165
0.6664918917	5.2838435173	1.2076424360
0.6665497575	5.6092596054	1.1200345755
0.6666076376	5.9602203369	1.0289653540
0.6666655174	6.2161741257	0.9647098780
0.6667233722	6.4536194801	0.9066812396
0.6667812496	6.7206587791	0.8431879878
0.6668391041	6.9924416542	0.7804350853
0.6668969821	7.2733278275	0.7175028324
0.6669548617	7.5484848022	0.6576928496
0.6670127163	7.8219809532	0.5999935865
0.6670705956	8.0796480179	0.5471835732
0.6671284732	8.3701610565	0.4893923700
0.6671863301	8.6437864304	0.4366071820
0.6672442111	8.9317893982	0.3827215731
0.6673020890	9.2135076523	0.3316220343
0.6673599436	9.4786510468	0.2849400938
0.6674178212	9.7641744614	0.2361546159
0.6674756811	10.0563716888	0.1877747625
0.6675335587	10.3323535919	0.1434720606
0.6675914247	10.5997743607	0.1017953008
0.6676493021	10.8695735931	0.0609599613
0.6677071798	11.1218118668	0.0238526054
0.6677650346	11.3823833466	-0.0134250568
0.6678229145	11.6393623352	-0.0491672717
0.6678807922	11.8941469193	-0.0836304352
0.6679386467	12.1386260986	-0.1158125699
0.6679965243	12.4025545120	-0.1496065855
0.6680544020	12.6514892578	-0.1806028932
0.6681122562	12.8997745514	-0.2106925845
0.6681701342	13.1364278793	-0.2386250794
0.6682280118	13.3731460571	-0.2658542395
0.6682858663	13.6022367477	-0.2915460765
0.6683437440	13.8399410248	-0.3175348043
0.6684016217	14.0723447800	-0.3423019648
0.6684594759	14.2979974747	-0.3657571673
0.6685173538	14.5267467499	-0.3889532983
0.6685752314	14.7558746338	-0.4116156101
0.6686330859	14.9876890182	-0.4339753389
0.6686909636	15.2072286606	-0.4546370506
0.6687488413	15.4188232422	-0.4740889072
0.6688066958	15.6392364502	-0.4938804209
0.6688645993	15.8537960052	-0.5126953721
0.6689224423	16.0529174805	-0.5297674537
0.6689803199	16.2691822052	-0.5478949547
0.6690381975	16.4706344604	-0.5644008517
0.6690960521	16.6760501862	-0.5808629394
0.6691539297	16.8744564056	-0.5964174271
0.6692118074	17.0813369751	-0.6122821569
0.6692696619	17.2630920410	-0.6259284019
0.6693275392	17.4527244568	-0.6398809552
0.6693854171	17.6352119446	-0.6530385017
0.6694432945	17.8211746216	-0.6661803126
